instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,stick_length_without,stick_length_with,condition,material_grade,maker_name,authentication_score,weight,stick_shape
107290,647,Violin Bow,,2023,Tarisio,"Stamped to the handle and under the winding, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 72.9/74.3cm | Weight: 60.5 grams",,,,72.9,74.3,0,1.0,"Sartory, Eugène Nicolas",3,60.5,round
56120,647,Violin Bow,,1984,Bongartz's,Gold mounted.,"November 26, 1984",Bongartz's,"""Goldmontierter französischer Violinbogen von E. Sartory, Paris 1928, Schildpattfrosch
mit Pariser Auge, Goldkopfplatte, Permuttfacetten im Bouton, auf dem Ring
befindet sich die von Sartory angefertigte Gravur: Specialement fait pour E. Ysaye;
unterhalb des Perlmuttschiebers ist die Jahreszahl 1928 eingraviert. Der Bogen
entstammt dem Nachlaß von E. Ysaye. Er ist einmalig und in absolut perfektem
Zustand, 64 g""",,,0,2.0,"Sartory, Eugène Nicolas",0,,
106203,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory A Paris."" | Round stick. Silver mounted. | Stick: 73.1 / 74.5 cm | Weight: 60.0 grams",,,,73.1,74.5,0,1.0,"Sartory, Eugène Nicolas",3,60.0,round
88456,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 62.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,62.0,round
73975,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory."" | Round stick. Silver mounted. | Weight: 62.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,62.5,round
57896,647,Violin Bow,,2007,Guy Laurent,Gold and tortoiseshell mounted. | Weight: 62.5 grams,"December 6, 2007",Guy Laurent,""". . .signé, dédicacé par la reine Elisabeth de Belgique
à son cher Maître Eugène Ysaÿe, daté du 24 décembre 1929, monté écaille et or. 62,5 g. Très bon état.
Accompagné d'une lettre du service de la reine, palais de Bruxelles et datée du 21 Novembre 1929.""
Guy Laurent Instruments du Quatuor Catalog, December 6, 2007, Vichy
, Guy Laurent Instruments du Quatuor Catalog, December 6, 2007, Vichy, Vichy",,,0,3.0,"Sartory, Eugène Nicolas",0,62.5,
68356,647,Violin Bow,,2014,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Weight: 64.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,64.5,octagonal
107202,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.3 / 74.7 cm | Weight: 62.0 grams",,,,73.3,74.7,0,1.0,"Sartory, Eugène Nicolas",3,62.0,round
15851,647,Violin Bow,,2008,Tarisio Private Sales,"Stamped, ""E. Sartory à Paris."" | Silver mounted.",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,,
108272,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.1 / 74.7 cm | Weight: 58.5 grams",,,,73.1,74.7,0,1.0,"Sartory, Eugène Nicolas",3,58.5,round
33324,647,Violin Bow,,2012,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Engraved to the ferrule, ""For Lawrence Kurklyn in memory of Ferreia, Joseph Szigeti."" | Weight: 60.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,60.0,
64403,647,Violin Bow,,2013,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. | Weight: 58.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,58.0,
63272,647,Violin Bow,,2013,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. | Weight: 61.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,61.5,
64591,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" and ""Expon 1935."" | Gold and ivory mounted.",,,,,,0,2.75,"Sartory, Eugène Nicolas",3,,
32300,647,Violin Bow,,2012; 2021,Tarisio; Tarisio Private Sales,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 58.5 grams","April 25-26, 2012",Tarisio,,,,0,1.0,"Sartory, Eugène Nicolas",3,58.5,round
64449,647,Violin Bow,,2013,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. | Weight: 63.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,63.0,
65179,647,Violin Bow,,2013,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 59.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,59.0,round
65064,647,Violin Bow,,2013,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 63.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,63.0,round
67000,647,Violin Bow,,2014,Tarisio,"Stamped twice, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 60.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,60.0,round
68802,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Octagonal stick. | Weight: 60.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,60.5,octagonal
72070,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory A. Paris."" | Round stick. Silver mounted. | Weight: 61 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,,round
72413,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. With button 74.5 cm. Without button 73.1 cm. | Weight: 58.0 grams",,,,73.1,74.5,0,1.0,"Sartory, Eugène Nicolas",3,58.0,round
73921,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory À Paris."" | Round stick. Silver mounted. | Weight: 62.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,62.0,round
73145,647,Violin Bow,,2022,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Gold and tortoiseshell mounted. | Stick: Length of stick without button: 73.1 Length of stick with button: 74.5 cm | Weight: 61.0 grams",,,,73.1,74.5,0,3.0,"Sartory, Eugène Nicolas",3,61.0,round
75474,647,Violin Bow,,2016,Tarisio,"Stamped, ""E. Sartory À Paris."" | Round stick. Silver mounted. | Weight: 60.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,60.0,round
73199,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 63.5 grams (with silver lapping)",,,,,,0,1.25,"Sartory, Eugène Nicolas",3,63.5,round
76757,647,Violin Bow,,2016,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 59.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,59.5,round
75447,647,Violin Bow,,2016,Tarisio,"Stamped, ""E. Sartory À Paris."" | Round stick. Silver mounted. | Stick: 73.1 cm/74.5 cm | Weight: 60.5 grams",,,,73.1,74.5,0,1.0,"Sartory, Eugène Nicolas",3,60.5,round
77968,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Gold mounted. | Weight: 59.5 grams",,,,,,0,2.0,"Sartory, Eugène Nicolas",3,59.5,round
77793,647,Violin Bow,,2003; 2017,Bein & Fushi; Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 58.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,58.5,round
78017,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 63.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,63.0,round
