instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,condition,length_of_back,upper_bouts,middle_bouts,lower_bouts,maker_name,authentication_score
76556,11223,Violin,1977.0,2017,Tarisio,"Labeled, ""Pirani Vittorio, in Firenze, li 1977."" | Length of back: 35.5 cm | Upper bouts: 16.6 cm | Middle bouts: 11.0 cm | Lower bouts: 20.9 cm",,,,,35.5,16.6,11.0,20.9,"Pirani, Vittorio",3
83193,1084,Violin,1983.0,2018,Tarisio,"Labeled, ""Enrico Piretti, liutaio, fece in Bolognius, anno 1983."" Signed to the label, ""Piretti Enrico."" | Branded to the inside back, ""E. Piretti."" | Length of back: 35.5 cm | Upper bouts: 16.5 cm | Middle bouts: 11.2 cm | Lower bouts: 20.6 cm",,,,,35.5,16.5,11.2,20.6,"Piretti, Enrico",5
83373,547,Violin,1806.0,2019,Tarisio,"Labeled, ""C. Pirot fecit, Parisis anno 1806."" | Branded to the lower ribs, ""Pirot."" Also bearing a repair label. Rosewood pegs. | Varnish: of a golden reddish brown colour | Length of back: 35.7 cm | Upper bouts: 16.6 cm | Middle bouts: 11.0 cm | Lower bouts: 20.7 cm",,,,,35.7,16.6,11.0,20.7,"Pirot, Claude",4
4671,547,Violin,1820.0,2003,Tarisio,"Labeled, ""C. Pirot Paris 1827..."" | Very good condition. | Length of back: 36.3 cm",,,,3.0,36.3,,,,"Pirot, Claude",3
59487,547,Violin,1803.0,,,"Labeled, ""C. PIROT Fecit/Parisiis. Anno 1803."" | Length of back: 35.9 cm","October 16, 2002",Christie's,,,35.9,,,,"Pirot, Claude",3
59499,547,Violin,1812.0,1992,Sotheby's,"Labeled, ""C* Pirot, Fecit, Parisus Anno 1812."" | Length of back: 35.9 cm","March 20, 1992",Sotheby's,,,35.9,,,,"Pirot, Claude",3
84597,548,Violin,1930.0,2018 ; 2020,Tarisio ; Tarisio,"Labeled, ""Raffaele ed Antonio Gagliano, Quodam Giovanni Napoli 1866."" | LOB: 35.6 cm *Request a virtual appointment with our luthier. Read Jason Price's feature on this lot. | Varnish: of a golden yellow brown colour | Upper bouts: 16.7 cm | Middle bouts: 11.2 cm | Lower bouts: 20.6 cm",,,,,,16.7,11.2,20.6,"Pistucci, Giovanni",3
81331,548,Violin,1910.0,2017; 2019,Tarisio; Tarisio Private Sales,"Labeled, ""Lorenzo Ventapane, fabbricante di strumenti armonici, strada Donnaregina no 35, Napoli 1851."" | Varnish: of a golden-brown color | Length of back: 35.4 cm | Upper bouts: 16.4 cm | Middle bouts: 10.9 cm | Lower bouts: 20.3 cm",,,,,35.4,16.4,10.9,20.3,"Pistucci, Giovanni",2
74414,548,Viola,1920.0,2016 ; 2023,Tarisio ; Tarisio,"Labeled, ""Raffaele e Antonio Gagliano, quondam Giovanni Napoli 1854."" | Length of back: 42.6 cm | Upper bouts: 20.4 cm | Middle bouts: 14.2 cm | Lower bouts: 25.1 cm",,,,,42.6,20.4,14.2,25.1,"Pistucci, Giovanni",3
75274,548,Violin,1875.0,2016,Tarisio,"Labeled, ""G. Desiato, Napoli 1875."" | Length of back: 35.3 cm | Upper bouts: 16.4 cm | Middle bouts: 10.9 cm | Lower bouts: 20.4 cm",,,,,35.3,16.4,10.9,20.4,"Pistucci, Giovanni",2
