iter	Passed	Remaining
402	17091	67728
403	17136	67698
404	17187	67688
405	17234	67665
406	17291	67680
407	17348	67693
408	17395	67666
409	17440	67634
410	17490	67620
411	17539	67603
412	17586	67579
413	17640	67578
414	17688	67559
415	17756	67611
416	17805	67591
417	17857	67585
418	17872	67438
419	17919	67409
420	17978	67431
421	18034	67437
422	18089	67439
423	18152	67471
424	18208	67478
425	18258	67461
426	18268	67298
427	18336	67347
428	18387	67333
429	18430	67291
430	18508	67377
431	18627	67609
432	18710	67710
433	18818	67902
434	18861	67859
435	18944	67958
436	18991	67926
437	19049	67933
438	19116	67973
439	19190	68040
440	19265	68106
441	19340	68172
442	19406	68205
443	19498	68332
444	19574	68399
445	19634	68412
446	19723	68525
447	19780	68523
448	19828	68495
449	19886	68496
450	19997	68683
451	20118	68901
452	20231	69092
453	20311	69166
454	20385	69220
455	20461	69283
456	20511	69253
457	20594	69337
458	20666	69384
459	20741	69437
460	20829	69536
461	20889	69542
462	20957	69571
463	21030	69616
464	21121	69723
465	21191	69760
466	21295	69906
467	21350	69892
468	21405	69876
469	21456	69847
470	21493	69775
471	21545	69750
472	21612	69773
473	21659	69730
474	21700	69668
475	21749	69634
476	21786	69560
477	21822	69485
478	21857	69404
479	21892	69325
480	21931	69258
481	21940	69099
482	21983	69045
483	22036	69023
484	22078	68967
485	22114	68890
486	22151	68820
487	22188	68748
488	22225	68676
489	22256	68587
490	22287	68495
491	22319	68411
492	22350	68319
493	22382	68234
494	22413	68145
495	22443	68055
496	22475	67970
497	22508	67887
498	22543	67810
499	22576	67729
500	22609	67648
501	22645	67576
502	22679	67498
503	22707	67401
504	22736	67307
505	22751	67175
506	22787	67102
507	22824	67035
508	22865	66980
509	22899	66901
510	22934	66829
511	22966	66746
512	22996	66657
513	23033	66591
514	23078	66546
515	23119	66489
516	23155	66420
517	23163	66269
518	23205	66217
519	23254	66184
520	23286	66106
521	23320	66030
522	23352	65950
523	23383	65866
524	23422	65806
525	23467	65761
526	23508	65707
527	23541	65629
528	23560	65516
529	23591	65432
530	23623	65355
531	23653	65269
532	23684	65189
533	23718	65115
534	23749	65032
535	23778	64946
536	23809	64865
537	23839	64782
538	23871	64704
539	23902	64626
540	23933	64546
541	23964	64466
542	23995	64386
543	24036	64331
544	24071	64265
545	24107	64197
546	24137	64116
547	24165	64030
548	24191	63938
549	24220	63855
550	24247	63765
551	24273	63673
552	24300	63585
553	24330	63505
554	24360	63425
555	24389	63342
556	24420	63264
557	24450	63186
558	24480	63105
559	24508	63020
560	24534	62931
561	24562	62848
562	24589	62762
563	24618	62681
564	24645	62594
565	24671	62506
566	24699	62422
567	24726	62337
568	24752	62250
569	24778	62164
570	24811	62093
571	24845	62028
572	24876	61952
573	24905	61872
574	24936	61799
575	24969	61729
576	25006	61670
577	25038	61601
578	25067	61521
579	25095	61440
580	25123	61359
581	25151	61279
582	25178	61196
583	25206	61116
584	25235	61039
585	25265	60963
586	25291	60881
587	25319	60801
588	25346	60719
589	25373	60639
590	25401	60559
591	25430	60482
592	25457	60401
593	25486	60325
594	25522	60266
595	25556	60203
596	25591	60141
597	25625	60078
598	25659	60015
599	25693	59951
600	25727	59887
601	25762	59827
602	25796	59763
603	25828	59697
604	25862	59632
605	25896	59570
606	25926	59498
607	25958	59432
608	25990	59365
609	26023	59298
610	26056	59235
611	26088	59169
612	26118	59096
613	26148	59026
614	26178	58954
615	26212	58892
616	26242	58822
617	26272	58751
618	26307	58693
619	26338	58623
620	26368	58553
621	26401	58491
622	26430	58417
623	26461	58351
624	26491	58282
625	26524	58217
626	26555	58151
627	26586	58083
628	26616	58013
629	26648	57950
630	26677	57878
631	26711	57818
632	26740	57746
633	26768	57675
634	26804	57618
635	26834	57550
636	26866	57487
637	26899	57424
638	26931	57360
639	26962	57296
640	26993	57229
641	27026	57167
642	27057	57102
643	27089	57038
644	27119	56972
645	27151	56909
646	27180	56839
647	27211	56774
648	27242	56709
649	27272	56642
650	27306	56584
651	27336	56518
652	27366	56450
653	27401	56394
654	27430	56326
655	27462	56264
656	27491	56197
657	27523	56134
658	27556	56073
659	27586	56008
660	27616	55943
661	27649	55884
662	27681	55821
663	27710	55755
664	27741	55690
665	27771	55627
666	27806	55570
667	27836	55506
668	27867	55443
669	27899	55382
670	27932	55322
671	27963	55261
672	27997	55204
673	28025	55136
674	28057	55075
675	28088	55014
676	28118	54950
677	28150	54889
678	28182	54829
679	28213	54767
680	28244	54704
681	28271	54636
682	28305	54580
683	28337	54520
684	28366	54455
685	28401	54401
686	28430	54337
687	28459	54272
688	28493	54216
689	28523	54153
690	28555	54093
691	28586	54033
692	28618	53974
693	28647	53911
694	28678	53849
695	28708	53787
696	28738	53725
697	28768	53662
698	28802	53607
699	28833	53548
700	28863	53486
701	28897	53431
702	28929	53372
703	28960	53313
704	28994	53259
705	29025	53198
706	29055	53138
707	29089	53084
708	29119	53023
709	29152	52966
710	29184	52909
711	29217	52853
712	29249	52796
713	29279	52735
714	29310	52676
715	29342	52619
716	29371	52557
717	29404	52502
718	29438	52449
719	29469	52389
