date,real_price_gold
1969-02-03,386.1232
1969-02-04,387.486
1969-02-05,389.303
1969-02-06,387.9402
1969-02-07,387.486
1969-02-10,385.6689
1969-02-11,387.6677
1969-02-12,387.486
1969-02-13,387.9402
1969-02-14,386.1232
1969-02-17,389.7573
1969-02-18,389.303
1969-02-19,387.486
1969-02-20,387.2588
1969-02-21,387.2588
1969-02-24,387.9402
1969-02-25,390.2115
1969-02-26,387.9402
1969-02-27,390.6658
1969-02-28,390.2115
1969-03-03,384.7164
1969-03-04,387.4193
1969-03-05,389.6717
1969-03-06,391.9242
1969-03-07,394.6271
1969-03-10,396.8795
1969-03-11,389.2212
1969-03-12,388.7707
1969-03-13,390.5727
1969-03-14,389.6717
1969-03-17,390.1222
1969-03-18,389.6717
1969-03-19,390.1222
1969-03-20,391.4737
1969-03-21,389.2212
1969-03-24,392.8251
1969-03-25,390.5727
1969-03-26,393.0954
1969-03-27,393.7261
1969-03-28,391.9242
1969-03-31,388.7707
1969-04-01,388.4208
1969-04-02,389.3168
1969-04-03,390.6608
1969-04-04,391.5568
1969-04-07,390.6608
1969-04-08,391.1088
1969-04-09,390.6608
1969-04-10,391.1088
1969-04-11,390.6608
1969-04-14,388.8688
1969-04-15,387.5248
1969-04-16,389.3168
1969-04-17,387.0768
1969-04-18,387.3008
1969-04-21,388.8688
1969-04-22,389.7648
1969-04-23,390.6608
1969-04-24,388.4208
1969-04-25,389.7648
1969-04-28,392.9008
1969-04-29,392.0048
1969-04-30,392.4528
1969-05-01,391.8214
1969-05-02,389.5876
1969-05-05,390.9279
1969-05-06,389.5876
1969-05-07,391.3747
1969-05-08,391.8214
1969-05-09,390.9279
1969-05-12,390.4811
1969-05-13,388.694
1969-05-14,388.694
1969-05-15,388.694
1969-05-16,390.9279
1969-05-19,390.4811
1969-05-20,388.0238
1969-05-21,390.0343
1969-05-22,388.2472
1969-05-23,390.9279
1969-05-27,390.4811
1969-05-28,389.5876
1969-05-29,388.2472
1969-05-30,384.8964
1969-06-02,381.6823
1969-06-03,378.1277
1969-06-04,375.906
1969-06-05,371.4627
1969-06-06,363.4647
1969-06-09,368.7967
1969-06-10,378.1277
1969-06-11,369.6853
1969-06-12,371.0183
1969-06-13,371.907
1969-06-16,364.7977
1969-06-17,370.574
1969-06-18,369.6853
1969-06-19,370.1297
1969-06-20,368.7967
1969-06-23,367.0193
1969-06-24,366.1307
1969-06-25,365.6863
1969-06-26,366.575
1969-06-27,367.4637
1969-06-30,368.3523
1969-07-01,365.9085
1969-07-02,366.3504
1969-07-03,369.4438
1969-07-04,367.6762
1969-07-07,371.6534
1969-07-08,374.305
1969-07-09,372.0954
1969-07-10,372.5373
1969-07-11,370.2393
1969-07-14,373.4211
1969-07-15,371.2115
1969-07-16,370.7696
1969-07-17,372.9792
1969-07-18,372.5373
1969-07-21,372.9792
1969-07-22,372.5373
1969-07-23,371.6534
1969-07-24,372.0954
1969-07-25,369.8858
1969-07-28,371.2115
1969-07-29,369.0019
1969-07-30,368.56
1969-07-31,367.6762
1969-08-01,366.1283
1969-08-04,365.2492
1969-08-05,363.4911
1969-08-06,362.612
1969-08-07,363.0516
1969-08-08,363.4911
1969-08-11,364.3701
1969-08-12,363.4911
1969-08-13,364.3701
1969-08-14,362.0846
1969-08-15,363.4911
1969-08-18,363.9306
1969-08-19,363.4911
1969-08-20,363.0516
1969-08-21,360.8539
1969-08-22,360.8539
1969-08-25,361.733
1969-08-26,361.2934
1969-08-27,361.733
1969-08-28,362.1725
1969-08-29,361.2934
1969-09-02,359.0046
1969-09-03,359.8813
1969-09-04,360.7579
1969-09-05,358.5662
1969-09-08,358.6539
1969-09-09,361.6346
1969-09-10,360.7579
1969-09-11,358.7854
