"Date";"Value"
"12/27/1999";1,0121
"12/28/1999";1,0066
"12/29/1999";1,004
"12/30/1999";1,0066
"12/31/1999";1,0088
"01/03/2000";1,0088
"01/04/2000";1,0301
"01/05/2000";1,0315
"01/06/2000";1,0315
"01/07/2000";1,0296
"01/10/2000";1,0254
"01/11/2000";1,0331
"01/12/2000";1,0308
"01/13/2000";1,0252
"01/14/2000";1,0142
"01/18/2000";1,0135
"01/19/2000";1,0125
"01/20/2000";1,0175
"01/21/2000";1,0085
"01/24/2000";1,007
"01/25/2000";1,0009
"01/26/2000";1,0014
"01/27/2000";0,9882
"01/28/2000";0,9769
"01/31/2000";0,9688
"02/01/2000";0,9721
"02/02/2000";0,9765
"02/03/2000";0,99
"02/04/2000";0,9821
"02/07/2000";0,98
"02/08/2000";0,986
"02/09/2000";0,9927
"02/10/2000";0,9851
"02/11/2000";0,9866
"02/14/2000";0,98
"02/15/2000";0,981
"02/16/2000";0,9865
"02/17/2000";0,988
"02/18/2000";0,9848
"02/22/2000";1,0037
"02/23/2000";1,0034
"02/24/2000";0,9924
"02/25/2000";0,9744
"02/28/2000";0,9714
"02/29/2000";0,9645
"03/01/2000";0,9732
"03/02/2000";0,9651
"03/03/2000";0,9582
"03/06/2000";0,9586
"03/07/2000";0,9581
"03/08/2000";0,9607
"03/09/2000";0,9667
"03/10/2000";0,9632
"03/13/2000";0,9633
"03/14/2000";0,9681
"03/15/2000";0,9668
"03/16/2000";0,969
"03/17/2000";0,9718
"03/20/2000";0,9729
"03/21/2000";0,9608
"03/22/2000";0,9606
"03/23/2000";0,9715
"03/24/2000";0,9753
"03/27/2000";0,9671
"03/28/2000";0,9594
"03/29/2000";0,9512
"03/30/2000";0,9615
"03/31/2000";0,9554
"04/03/2000";0,9555
"04/04/2000";0,9592
"04/05/2000";0,9623
"04/06/2000";0,9583
"04/07/2000";0,9545
"04/10/2000";0,9623
"04/11/2000";0,959
"04/12/2000";0,9587
"04/13/2000";0,9528
"04/14/2000";0,962
"04/17/2000";0,9523
"04/18/2000";0,9453
"04/19/2000";0,9401
"04/20/2000";0,9383
"04/24/2000";0,9378
"04/25/2000";0,9203
"04/26/2000";0,923
"04/27/2000";0,9093
"04/28/2000";0,9113
"05/01/2000";0,9154
"05/02/2000";0,9093
"05/03/2000";0,8941
"05/04/2000";0,8896
"05/05/2000";0,8971
"05/08/2000";0,8974
"05/09/2000";0,9073
"05/10/2000";0,9065
"05/11/2000";0,9014
"05/12/2000";0,918
"05/15/2000";0,9112
"05/16/2000";0,9003
"05/17/2000";0,8948
"05/18/2000";0,8945
"05/19/2000";0,897
"05/22/2000";0,9028
"05/23/2000";0,9066
"05/24/2000";0,9038
"05/25/2000";0,9113
"05/26/2000";0,9307
"05/30/2000";0,9301
"05/31/2000";0,9373
"06/01/2000";0,9309
"06/02/2000";0,9458
"06/05/2000";0,9477
"06/06/2000";0,9542
"06/07/2000";0,9613
"06/08/2000";0,9559
"06/09/2000";0,953
"06/12/2000";0,9532
"06/13/2000";0,9594
"06/14/2000";0,9577
"06/15/2000";0,9544
"06/16/2000";0,9645
"06/19/2000";0,9564
"06/20/2000";0,9545
"06/21/2000";0,9443
"06/22/2000";0,9354
"06/23/2000";0,9351
"06/26/2000";0,9365
"06/27/2000";0,9452
"06/28/2000";0,941
"06/29/2000";0,9515
"06/30/2000";0,9525
"07/03/2000";0,95
"07/05/2000";0,9527
"07/06/2000";0,9507
"07/07/2000";0,9481
"07/10/2000";0,9549
"07/11/2000";0,9524
"07/12/2000";0,9423
"07/13/2000";0,9371
"07/14/2000";0,938
"07/17/2000";0,9361
"07/18/2000";0,9251
"07/19/2000";0,9244
"07/20/2000";0,933
