Date,Close,SP500_real
1950-01-03,16.65999984741211,230.58290512214825
1950-01-04,16.850000381469727,233.21260953505498
1950-01-05,16.93000030517578,234.31984933017165
1950-01-06,16.979999542236328,235.01186430261492
1950-01-09,17.079999923706055,236.39592064618049
1950-01-10,17.030000686645508,235.7039056737372
1950-01-11,17.09000015258789,236.53432892040496
1950-01-12,16.760000228881836,231.96696146571384
1950-01-13,16.670000076293945,230.7213133963727
1950-01-16,16.719999313354492,231.413328368816
1950-01-17,16.860000610351562,233.35101780927943
1950-01-18,16.850000381469727,233.21260953505498
1950-01-19,16.8700008392334,233.4894260835039
1950-01-20,16.899999618530273,233.90462450749823
1950-01-23,16.920000076293945,234.18144105594718
1950-01-24,16.860000610351562,233.35101780927943
1950-01-25,16.739999771118164,231.6901449172649
1950-01-26,16.729999542236328,231.5517366430404
1950-01-27,16.81999969482422,232.79738471238156
1950-01-30,17.020000457763672,235.56549739951276
1950-01-31,17.049999237060547,235.98069582350712
1950-02-01,17.049999237060547,235.98069582350712
1950-02-02,17.229999542236328,238.47199196218938
1950-02-03,17.290000915527344,239.30244160753614
1950-02-06,17.31999969482422,239.71764003153052
1950-02-07,17.229999542236328,238.47199196218938
1950-02-08,17.209999084472656,238.19517541374043
1950-02-09,17.280000686645508,239.16403333331172
1950-02-10,17.239999771118164,238.61040023641382
1950-02-14,17.059999465942383,236.1191040977316
1950-02-15,17.059999465942383,236.1191040977316
1950-02-16,16.989999771118164,235.15027257683937
1950-02-17,17.149999618530273,237.3647521670727
1950-02-20,17.200000762939453,238.05679353819505
1950-02-21,17.170000076293945,237.64156871552163
1950-02-23,17.209999084472656,238.19517541374043
1950-02-24,17.280000686645508,239.16403333331172
1950-02-27,17.280000686645508,239.16403333331172
1950-02-28,17.219999313354492,238.3335836879649
1950-03-01,17.239999771118164,237.59933921846292
1950-03-02,17.229999542236328,237.46151741997667
1950-03-03,17.290000915527344,238.28844821089407
1950-03-06,17.31999969482422,238.70188731953246
1950-03-07,17.200000762939453,237.04807831133826
1950-03-08,17.190000534057617,236.91025651285204
1950-03-09,17.06999969482422,235.25642121783756
1950-03-10,17.09000015258789,235.53206481481
1950-03-13,17.1200008392334,235.94553021026869
1950-03-14,17.25,237.73716101694913
1950-03-15,17.450000762939453,240.4935444130332
1950-03-16,17.489999771118164,241.04480532015785
1950-03-17,17.450000762939453,240.4935444130332
1950-03-20,17.440000534057617,240.35572261454695
1950-03-21,17.450000762939453,240.4935444130332
1950-03-22,17.549999237060547,241.87170982425496
1950-03-23,17.559999465942383,242.00953162274118
1950-03-24,17.559999465942383,242.00953162274118
1950-03-27,17.459999084472656,240.63133992469915
1950-03-28,17.530000686645508,241.59609251410274
1950-03-29,17.440000534057617,240.35572261454695
1950-03-30,17.299999237060547,238.42624372256003
1950-03-31,17.290000915527344,238.28844821089407
1950-04-03,17.530000686645508,241.59609251410274
1950-04-04,17.549999237060547,241.87170982425496
1950-04-05,17.6299991607666,242.9742579253245
1950-04-06,17.780000686645508,245.04155861579764
1950-04-10,17.850000381469727,246.00628491838097
1950-04-11,17.75,244.628093220339
1950-04-12,17.940000534057617,247.24665481793676
1950-04-13,17.979999542236328,247.79791572506144
1950-04-14,17.959999084472656,247.522272128089
1950-04-17,17.8799991607666,246.4197240270194
1950-04-18,18.030000686645508,248.48702471749255
1950-04-19,18.049999237060547,248.76264202764477
1950-04-20,17.93000030517578,247.10883301945057
1950-04-21,17.959999084472656,247.522272128089
1950-04-24,17.829999923706055,245.73064132140854
1950-04-25,17.829999923706055,245.73064132140854
1950-04-26,17.760000228881836,244.76591501882518
1950-04-27,17.860000610351562,246.1441067168672
1950-04-28,17.959999084472656,247.522272128089
1950-05-01,18.219999313354492,250.0460428973492
1950-05-02,18.110000610351562,248.53645225814626
1950-05-03,18.270000457763672,250.73224425690086
1950-05-04,18.1200008392334,248.6736925300566
1950-05-05,18.219999313354492,250.0460428973492
1950-05-08,18.270000457763672,250.73224425690086
1950-05-09,18.270000457763672,250.73224425690086
1950-05-10,18.290000915527344,251.0067248007215
1950-05-11,18.290000915527344,251.0067248007215
1950-05-12,18.18000030517578,249.49710798561324
1950-05-15,18.260000228881836,250.5950039849905
1950-05-16,18.440000534057617,253.06527652756577
1950-05-17,18.520000457763672,254.16317252694304
1950-05-18,18.559999465942383,254.712107438679
1950-05-19,18.68000030517578,256.3589645256976
1950-05-22,18.600000381469727,255.26106852632034
1950-05-23,18.709999084472656,256.7706591655232
1950-05-24,18.690000534057617,256.49620479760796
1950-05-25,18.690000534057617,256.49620479760796
1950-05-26,18.670000076293945,256.2217242537873
1950-05-29,18.719999313354492,256.90789943743357
1950-05-31,18.780000686645508,257.7313410688956
1950-06-01,18.770000457763672,256.511772642376
1950-06-02,18.790000915527344,256.78509990660086
1950-06-05,18.600000381469727,254.18854302831056
1950-06-06,18.8799991607666,258.01502046376714
1950-06-07,18.93000030517578,258.6983386243291
1950-06-08,19.139999389648438,261.5681967009216
1950-06-09,19.260000228881836,263.2081342203477
1950-06-12,19.399999618530273,265.121372938076
1950-06-13,19.25,263.0714705882353
1950-06-14,18.979999542236328,259.3816307189685
1950-06-15,18.93000030517578,258.6983386243291
1950-06-16,18.969999313354492,259.2449670868561
1950-06-19,18.920000076293945,258.56167499221675
1950-06-20,18.829999923706055,257.3317283691278
1950-06-21,19.0,259.65495798319324
1950-06-22,19.15999984741211,261.84152396514634
1950-06-23,19.139999389648438,261.5681967009216
1950-06-26,18.110000610351562,247.49218145033893
1950-06-27,17.90999984741211,244.75896093993626
1950-06-28,18.110000610351562,247.49218145033893
1950-06-29,17.440000534057617,238.3359266261894
1950-06-30,17.690000534057617,241.75243923123145
1950-07-03,17.639999389648438,238.06826064240386
1950-07-05,17.809999465942383,240.36257038575482
1950-07-06,17.90999984741211,241.7121688950408
1950-07-07,17.670000076293945,238.47314791762483
1950-07-10,17.59000015258789,237.39347425848615
1950-07-11,17.31999969482422,233.74956600584923
1950-07-12,16.8700008392334,227.67641132623822
1950-07-13,16.690000534057617,225.24713915781362
1950-07-14,16.8700008392334,227.67641132623822
1950-07-17,16.68000030517578,225.11217673273998
1950-07-18,17.059999465942383,230.24062017828595
1950-07-19,17.360000610351562,234.2894157061438
1950-07-20,17.610000610351562,237.66339910863346
1950-07-21,17.59000015258789,237.39347425848615
1950-07-24,17.479999542236328,235.90891332412656
1950-07-25,17.229999542236328,232.53492992163692
1950-07-26,17.270000457763672,233.07477962193153
1950-07-27,17.5,236.17883817427386
1950-07-28,17.690000534057617,238.7430727677721
1950-07-31,17.84000015258789,240.7674576609758
1950-08-01,18.020000457763672,241.19511065384978
1950-08-02,17.950000762939453,240.25817482088817
1950-08-03,17.989999771118164,240.7935557841862
1950-08-04,18.139999389648438,242.80127907333062
1950-08-07,18.40999984741211,246.4151963115425
1950-08-08,18.459999084472656,247.08442889806173
1950-08-09,18.610000610351562,249.09217771679283
1950-08-10,18.479999542236328,247.3521321445041
1950-08-11,18.280000686645508,244.67517626884054
1950-08-14,18.290000915527344,244.80902789206172
1950-08-15,18.31999969482422,245.21055723213857
1950-08-16,18.34000015258789,245.47826047858095
1950-08-17,18.540000915527344,248.15524188383128
1950-08-18,18.68000030517578,250.02911354975444
1950-08-21,18.700000762939453,250.29681679619682
1950-08-22,18.68000030517578,250.02911354975444
1950-08-23,18.81999969482422,251.90298521567766
1950-08-24,18.790000915527344,251.50145587560078
1950-08-25,18.540000915527344,248.15524188383128
1950-08-28,18.530000686645508,248.02139026061008
1950-08-29,18.540000915527344,248.15524188383128
1950-08-30,18.43000030517578,246.6828995579849
1950-08-31,18.420000076293945,246.5490479347637
1950-09-01,18.549999237060547,247.27148983001712
1950-09-05,18.68000030517578,249.0044040679932
1950-09-06,18.540000915527344,247.13821220397952
1950-09-07,18.59000015258789,247.80470203399662
1950-09-08,18.75,249.9375
1950-09-11,18.610000610351562,248.07130813598636
1950-09-12,18.8700008392334,251.53711118698124
1950-09-13,19.09000015258789,254.4697020339966
1950-09-14,19.18000030517578,255.66940406799318
1950-09-15,19.290000915527344,257.13571220397955
1950-09-18,19.3700008392334,258.2021111869812
1950-09-19,19.309999465942383,257.402292881012
1950-09-20,19.209999084472656,256.06928779602055
1950-09-21,19.3700008392334,258.2021111869812
1950-09-22,19.440000534057617,259.13520711898803
1950-09-25,19.420000076293945,258.86860101699835
1950-09-26,19.139999389648438,255.13619186401368
1950-09-27,19.40999984741211,258.73529796600343
1950-09-28,19.420000076293945,258.86860101699835
1950-09-29,19.450000762939453,259.2685101699829
1950-10-02,19.690000534057617,260.3338233212727
1950-10-03,19.65999984741211,259.93716546221475
1950-10-04,20.0,264.43252032520326
1950-10-05,19.889999389648438,262.9781333935745
1950-10-06,20.1200008392334,266.0191265431846
1950-10-09,20.0,264.43252032520326
1950-10-10,19.780000686645508,261.5237716801961
1950-10-11,19.860000610351562,262.5815007527669
1950-10-13,19.850000381469727,262.4492814664143
1950-10-16,19.709999084472656,260.5982366757276
1950-10-17,19.889999389648438,262.9781333935745
1950-10-18,20.010000228881836,264.56473961155586
1950-10-19,20.020000457763672,264.69695889790853
1950-10-20,19.959999084472656,263.9036431797927
1950-10-23,19.959999084472656,263.9036431797927
1950-10-24,20.079999923706055,265.49024939777405
1950-10-25,20.049999237060547,265.0935915387161
1950-10-26,19.610000610351562,259.2760942487019
1950-10-27,19.770000457763672,261.3915523938435
1950-10-30,19.610000610351562,259.2760942487019
